COUNTDUMS,halfyear,f0LNGDP,f1LNGDP,f2LNGDP,f3LNGDP,f4LNGDP,f5LNGDP,f6LNGDP,f7LNGDP,f8LNGDP,f9LNGDP,f10LNGDP,CRISIS,l1LNGDP,l2LNGDP,l3LNGDP,l4LNGDP,l1CRISIS,l2CRISIS,l3CRISIS,l4CRISIS
1,64,1307.132011,1308.691404,1311.591615,1312.952959,1314.917833,1317.794124,1319.233907,1320.207261,1322.416693,1324.509097,1326.414478,0,1306.590469,1308.182845,1308.069306,1307.11087,0,0,0,0
1,65,1308.691404,1311.591615,1312.952959,1314.917833,1317.794124,1319.233907,1320.207261,1322.416693,1324.509097,1326.414478,1329.789903,0,1307.132011,1306.590469,1308.182845,1308.069306,0,0,0,0
1,66,1311.591615,1312.952959,1314.917833,1317.794124,1319.233907,1320.207261,1322.416693,1324.509097,1326.414478,1329.789903,1331.351249,0,1308.691404,1307.132011,1306.590469,1308.182845,0,0,0,0
1,67,1312.952959,1314.917833,1317.794124,1319.233907,1320.207261,1322.416693,1324.509097,1326.414478,1329.789903,1331.351249,1333.138663,0,1311.591615,1308.691404,1307.132011,1306.590469,0,0,0,0
1,68,1314.917833,1317.794124,1319.233907,1320.207261,1322.416693,1324.509097,1326.414478,1329.789903,1331.351249,1333.138663,1336.230483,0,1312.952959,1311.591615,1308.691404,1307.132011,0,0,0,0
1,69,1317.794124,1319.233907,1320.207261,1322.416693,1324.509097,1326.414478,1329.789903,1331.351249,1333.138663,1336.230483,1337.543211,0,1314.917833,1312.952959,1311.591615,1308.691404,0,0,0,0
1,70,1319.233907,1320.207261,1322.416693,1324.509097,1326.414478,1329.789903,1331.351249,1333.138663,1336.230483,1337.543211,1339.740051,0,1317.794124,1314.917833,1312.952959,1311.591615,0,0,0,0
1,71,1320.207261,1322.416693,1324.509097,1326.414478,1329.789903,1331.351249,1333.138663,1336.230483,1337.543211,1339.740051,1341.566615,0,1319.233907,1317.794124,1314.917833,1312.952959,0,0,0,0
1,72,1322.416693,1324.509097,1326.414478,1329.789903,1331.351249,1333.138663,1336.230483,1337.543211,1339.740051,1341.566615,1341.284965,0,1320.207261,1319.233907,1317.794124,1314.917833,0,0,0,0
1,73,1324.509097,1326.414478,1329.789903,1331.351249,1333.138663,1336.230483,1337.543211,1339.740051,1341.566615,1341.284965,1343.209482,0,1322.416693,1320.207261,1319.233907,1317.794124,0,0,0,0
1,74,1326.414478,1329.789903,1331.351249,1333.138663,1336.230483,1337.543211,1339.740051,1341.566615,1341.284965,1343.209482,1345.378521,0,1324.509097,1322.416693,1320.207261,1319.233907,0,0,0,0
1,75,1329.789903,1331.351249,1333.138663,1336.230483,1337.543211,1339.740051,1341.566615,1341.284965,1343.209482,1345.378521,1347.743676,0,1326.414478,1324.509097,1322.416693,1320.207261,0,0,0,0
1,76,1331.351249,1333.138663,1336.230483,1337.543211,1339.740051,1341.566615,1341.284965,1343.209482,1345.378521,1347.743676,1348.96944,0,1329.789903,1326.414478,1324.509097,1322.416693,0,0,0,0
1,77,1333.138663,1336.230483,1337.543211,1339.740051,1341.566615,1341.284965,1343.209482,1345.378521,1347.743676,1348.96944,1349.623216,0,1331.351249,1329.789903,1326.414478,1324.509097,0,0,0,0
1,78,1336.230483,1337.543211,1339.740051,1341.566615,1341.284965,1343.209482,1345.378521,1347.743676,1348.96944,1349.623216,1352.896046,0,1333.138663,1331.351249,1329.789903,1326.414478,0,0,0,0
1,79,1337.543211,1339.740051,1341.566615,1341.284965,1343.209482,1345.378521,1347.743676,1348.96944,1349.623216,1352.896046,1354.163019,0,1336.230483,1333.138663,1331.351249,1329.789903,0,0,0,0
1,80,1339.740051,1341.566615,1341.284965,1343.209482,1345.378521,1347.743676,1348.96944,1349.623216,1352.896046,1354.163019,1355.78063,0,1337.543211,1336.230483,1333.138663,1331.351249,0,0,0,0
1,81,1341.566615,1341.284965,1343.209482,1345.378521,1347.743676,1348.96944,1349.623216,1352.896046,1354.163019,1355.78063,1357.150656,0,1339.740051,1337.543211,1336.230483,1333.138663,0,0,0,0
1,82,1341.284965,1343.209482,1345.378521,1347.743676,1348.96944,1349.623216,1352.896046,1354.163019,1355.78063,1357.150656,1359.13281,0,1341.566615,1339.740051,1337.543211,1336.230483,0,0,0,0
1,83,1343.209482,1345.378521,1347.743676,1348.96944,1349.623216,1352.896046,1354.163019,1355.78063,1357.150656,1359.13281,1359.517246,0,1341.284965,1341.566615,1339.740051,1337.543211,0,0,0,0
1,84,1345.378521,1347.743676,1348.96944,1349.623216,1352.896046,1354.163019,1355.78063,1357.150656,1359.13281,1359.517246,1362.197865,0,1343.209482,1341.284965,1341.566615,1339.740051,0,0,0,0
1,85,1347.743676,1348.96944,1349.623216,1352.896046,1354.163019,1355.78063,1357.150656,1359.13281,1359.517246,1362.197865,1364.457019,0,1345.378521,1343.209482,1341.284965,1341.566615,0,0,0,0
1,86,1348.96944,1349.623216,1352.896046,1354.163019,1355.78063,1357.150656,1359.13281,1359.517246,1362.197865,1364.457019,1365.885543,0,1347.743676,1345.378521,1343.209482,1341.284965,0,0,0,0
1,87,1349.623216,1352.896046,1354.163019,1355.78063,1357.150656,1359.13281,1359.517246,1362.197865,1364.457019,1365.885543,1367.311029,0,1348.96944,1347.743676,1345.378521,1343.209482,0,0,0,0
1,88,1352.896046,1354.163019,1355.78063,1357.150656,1359.13281,1359.517246,1362.197865,1364.457019,1365.885543,1367.311029,1367.334476,0,1349.623216,1348.96944,1347.743676,1345.378521,0,0,0,0
1,89,1354.163019,1355.78063,1357.150656,1359.13281,1359.517246,1362.197865,1364.457019,1365.885543,1367.311029,1367.334476,1368.975344,0,1352.896046,1349.623216,1348.96944,1347.743676,0,0,0,0
1,90,1355.78063,1357.150656,1359.13281,1359.517246,1362.197865,1364.457019,1365.885543,1367.311029,1367.334476,1368.975344,1370.008658,0,1354.163019,1352.896046,1349.623216,1348.96944,0,0,0,0
1,91,1357.150656,1359.13281,1359.517246,1362.197865,1364.457019,1365.885543,1367.311029,1367.334476,1368.975344,1370.008658,1371.036425,0,1355.78063,1354.163019,1352.896046,1349.623216,0,0,0,0
1,92,1359.13281,1359.517246,1362.197865,1364.457019,1365.885543,1367.311029,1367.334476,1368.975344,1370.008658,1371.036425,1372.656557,0,1357.150656,1355.78063,1354.163019,1352.896046,0,0,0,0
1,93,1359.517246,1362.197865,1364.457019,1365.885543,1367.311029,1367.334476,1368.975344,1370.008658,1371.036425,1372.656557,1373.50506,0,1359.13281,1357.150656,1355.78063,1354.163019,0,0,0,0
1,94,1362.197865,1364.457019,1365.885543,1367.311029,1367.334476,1368.975344,1370.008658,1371.036425,1372.656557,1373.50506,1375.717455,0,1359.517246,1359.13281,1357.150656,1355.78063,0,0,0,0
1,95,1364.457019,1365.885543,1367.311029,1367.334476,1368.975344,1370.008658,1371.036425,1372.656557,1373.50506,1375.717455,1377.284243,0,1362.197865,1359.517246,1359.13281,1357.150656,0,0,0,0
1,96,1365.885543,1367.311029,1367.334476,1368.975344,1370.008658,1371.036425,1372.656557,1373.50506,1375.717455,1377.284243,1378.391423,0,1364.457019,1362.197865,1359.517246,1359.13281,0,0,0,0
1,97,1367.311029,1367.334476,1368.975344,1370.008658,1371.036425,1372.656557,1373.50506,1375.717455,1377.284243,1378.391423,1379.310236,2,1365.885543,1364.457019,1362.197865,1359.517246,0,0,0,0
1,98,1367.334476,1368.975344,1370.008658,1371.036425,1372.656557,1373.50506,1375.717455,1377.284243,1378.391423,1379.310236,1380.647485,4,1367.311029,1365.885543,1364.457019,1362.197865,2,0,0,0
1,99,1368.975344,1370.008658,1371.036425,1372.656557,1373.50506,1375.717455,1377.284243,1378.391423,1379.310236,1380.647485,1382.011083,1,1367.334476,1367.311029,1365.885543,1364.457019,4,2,0,0
1,100,1370.008658,1371.036425,1372.656557,1373.50506,1375.717455,1377.284243,1378.391423,1379.310236,1380.647485,1382.011083,1382.95087,0,1368.975344,1367.334476,1367.311029,1365.885543,1,4,2,0
1,101,1371.036425,1372.656557,1373.50506,1375.717455,1377.284243,1378.391423,1379.310236,1380.647485,1382.011083,1382.95087,1384.075746,0,1370.008658,1368.975344,1367.334476,1367.311029,0,1,4,2
1,102,1372.656557,1373.50506,1375.717455,1377.284243,1378.391423,1379.310236,1380.647485,1382.011083,1382.95087,1384.075746,1385.808162,0,1371.036425,1370.008658,1368.975344,1367.334476,0,0,1,4
1,103,1373.50506,1375.717455,1377.284243,1378.391423,1379.310236,1380.647485,1382.011083,1382.95087,1384.075746,1385.808162,,0,1372.656557,1371.036425,1370.008658,1368.975344,0,0,0,1
1,104,1375.717455,1377.284243,1378.391423,1379.310236,1380.647485,1382.011083,1382.95087,1384.075746,1385.808162,,,0,1373.50506,1372.656557,1371.036425,1370.008658,0,0,0,0
1,105,1377.284243,1378.391423,1379.310236,1380.647485,1382.011083,1382.95087,1384.075746,1385.808162,,,,0,1375.717455,1373.50506,1372.656557,1371.036425,0,0,0,0
1,106,1378.391423,1379.310236,1380.647485,1382.011083,1382.95087,1384.075746,1385.808162,,,,,0,1377.284243,1375.717455,1373.50506,1372.656557,0,0,0,0
1,107,1379.310236,1380.647485,1382.011083,1382.95087,1384.075746,1385.808162,,,,,,,1378.391423,1377.284243,1375.717455,1373.50506,0,0,0,0
1,108,1380.647485,1382.011083,1382.95087,1384.075746,1385.808162,,,,,,,,1379.310236,1378.391423,1377.284243,1375.717455,,0,0,0
1,109,1382.011083,1382.95087,1384.075746,1385.808162,,,,,,,,,1380.647485,1379.310236,1378.391423,1377.284243,,,0,0
1,110,1382.95087,1384.075746,1385.808162,,,,,,,,,,1382.011083,1380.647485,1379.310236,1378.391423,,,,0
1,111,1384.075746,1385.808162,,,,,,,,,,,1382.95087,1382.011083,1380.647485,1379.310236,,,,
1,112,1385.808162,,,,,,,,,,,,1384.075746,1382.95087,1382.011083,1380.647485,,,,
2,37,1205.689916,,,,,,,,,,,0,,,,,,,,
2,38,1207.008315,,,,,,,,,,,0,1205.689916,,,,0,,,
2,39,1210.578978,,,,,,,,,,,0,1207.008315,1205.689916,,,0,0,,
2,40,1212.774693,,,,,,,,,,,0,1210.578978,1207.008315,1205.689916,,0,0,0,
2,41,1212.784231,1213.359026,1213.6653,1212.962377,1215.263409,1215.020656,1217.527253,1219.370673,1217.33585,1219.197369,1219.832102,0,1212.774693,1210.578978,1207.008315,1205.689916,0,0,0,0
2,42,1213.359026,1213.6653,1212.962377,1215.263409,1215.020656,1217.527253,1219.370673,1217.33585,1219.197369,1219.832102,1220.888425,0,1212.784231,1212.774693,1210.578978,1207.008315,0,0,0,0
2,43,1213.6653,1212.962377,1215.263409,1215.020656,1217.527253,1219.370673,1217.33585,1219.197369,1219.832102,1220.888425,1222.981506,0,1213.359026,1212.784231,1212.774693,1210.578978,0,0,0,0
2,44,1212.962377,1215.263409,1215.020656,1217.527253,1219.370673,1217.33585,1219.197369,1219.832102,1220.888425,1222.981506,1223.136924,0,1213.6653,1213.359026,1212.784231,1212.774693,0,0,0,0
2,45,1215.263409,1215.020656,1217.527253,1219.370673,1217.33585,1219.197369,1219.832102,1220.888425,1222.981506,1223.136924,1224.029902,0,1212.962377,1213.6653,1213.359026,1212.784231,0,0,0,0
2,46,1215.020656,1217.527253,1219.370673,1217.33585,1219.197369,1219.832102,1220.888425,1222.981506,1223.136924,1224.029902,1226.044461,0,1215.263409,1212.962377,1213.6653,1213.359026,0,0,0,0
2,47,1217.527253,1219.370673,1217.33585,1219.197369,1219.832102,1220.888425,1222.981506,1223.136924,1224.029902,1226.044461,1226.846863,0,1215.020656,1215.263409,1212.962377,1213.6653,0,0,0,0
2,48,1219.370673,1217.33585,1219.197369,1219.832102,1220.888425,1222.981506,1223.136924,1224.029902,1226.044461,1226.846863,1229.670833,0,1217.527253,1215.020656,1215.263409,1212.962377,0,0,0,0
2,49,1217.33585,1219.197369,1219.832102,1220.888425,1222.981506,1223.136924,1224.029902,1226.044461,1226.846863,1229.670833,1230.965125,0,1219.370673,1217.527253,1215.020656,1215.263409,0,0,0,0
2,50,1219.197369,1219.832102,1220.888425,1222.981506,1223.136924,1224.029902,1226.044461,1226.846863,1229.670833,1230.965125,1233.082818,0,1217.33585,1219.370673,1217.527253,1215.020656,0,0,0,0
2,51,1219.832102,1220.888425,1222.981506,1223.136924,1224.029902,1226.044461,1226.846863,1229.670833,1230.965125,1233.082818,1235.380014,0,1219.197369,1217.33585,1219.370673,1217.527253,0,0,0,0
2,52,1220.888425,1222.981506,1223.136924,1224.029902,1226.044461,1226.846863,1229.670833,1230.965125,1233.082818,1235.380014,1236.884406,0,1219.832102,1219.197369,1217.33585,1219.370673,0,0,0,0
2,53,1222.981506,1223.136924,1224.029902,1226.044461,1226.846863,1229.670833,1230.965125,1233.082818,1235.380014,1236.884406,1238.482752,0,1220.888425,1219.832102,1219.197369,1217.33585,0,0,0,0
2,54,1223.136924,1224.029902,1226.044461,1226.846863,1229.670833,1230.965125,1233.082818,1235.380014,1236.884406,1238.482752,1240.195711,0,1222.981506,1220.888425,1219.832102,1219.197369,0,0,0,0
2,55,1224.029902,1226.044461,1226.846863,1229.670833,1230.965125,1233.082818,1235.380014,1236.884406,1238.482752,1240.195711,1241.056706,0,1223.136924,1222.981506,1220.888425,1219.832102,0,0,0,0
2,56,1226.044461,1226.846863,1229.670833,1230.965125,1233.082818,1235.380014,1236.884406,1238.482752,1240.195711,1241.056706,1240.832868,0,1224.029902,1223.136924,1222.981506,1220.888425,0,0,0,0
2,57,1226.846863,1229.670833,1230.965125,1233.082818,1235.380014,1236.884406,1238.482752,1240.195711,1241.056706,1240.832868,1241.162027,0,1226.044461,1224.029902,1223.136924,1222.981506,0,0,0,0
2,58,1229.670833,1230.965125,1233.082818,1235.380014,1236.884406,1238.482752,1240.195711,1241.056706,1240.832868,1241.162027,1242.876665,0,1226.846863,1226.044461,1224.029902,1223.136924,0,0,0,0
2,59,1230.965125,1233.082818,1235.380014,1236.884406,1238.482752,1240.195711,1241.056706,1240.832868,1241.162027,1242.876665,1243.369749,0,1229.670833,1226.846863,1226.044461,1224.029902,0,0,0,0
2,60,1233.082818,1235.380014,1236.884406,1238.482752,1240.195711,1241.056706,1240.832868,1241.162027,1242.876665,1243.369749,1245.613446,0,1230.965125,1229.670833,1226.846863,1226.044461,0,0,0,0
2,61,1235.380014,1236.884406,1238.482752,1240.195711,1241.056706,1240.832868,1241.162027,1242.876665,1243.369749,1245.613446,1246.869298,0,1233.082818,1230.965125,1229.670833,1226.846863,0,0,0,0
2,62,1236.884406,1238.482752,1240.195711,1241.056706,1240.832868,1241.162027,1242.876665,1243.369749,1245.613446,1246.869298,1247.440033,0,1235.380014,1233.082818,1230.965125,1229.670833,0,0,0,0
2,63,1238.482752,1240.195711,1241.056706,1240.832868,1241.162027,1242.876665,1243.369749,1245.613446,1246.869298,1247.440033,1248.835555,0,1236.884406,1235.380014,1233.082818,1230.965125,0,0,0,0
2,64,1240.195711,1241.056706,1240.832868,1241.162027,1242.876665,1243.369749,1245.613446,1246.869298,1247.440033,1248.835555,1249.835821,0,1238.482752,1236.884406,1235.380014,1233.082818,0,0,0,0
2,65,1241.056706,1240.832868,1241.162027,1242.876665,1243.369749,1245.613446,1246.869298,1247.440033,1248.835555,1249.835821,1250.321073,0,1240.195711,1238.482752,1236.884406,1235.380014,0,0,0,0
2,66,1240.832868,1241.162027,1242.876665,1243.369749,1245.613446,1246.869298,1247.440033,1248.835555,1249.835821,1250.321073,1253.279098,0,1241.056706,1240.195711,1238.482752,1236.884406,0,0,0,0
2,67,1241.162027,1242.876665,1243.369749,1245.613446,1246.869298,1247.440033,1248.835555,1249.835821,1250.321073,1253.279098,1255.018649,0,1240.832868,1241.056706,1240.195711,1238.482752,0,0,0,0
2,68,1242.876665,1243.369749,1245.613446,1246.869298,1247.440033,1248.835555,1249.835821,1250.321073,1253.279098,1255.018649,1255.497757,0,1241.162027,1240.832868,1241.056706,1240.195711,0,0,0,0
2,69,1243.369749,1245.613446,1246.869298,1247.440033,1248.835555,1249.835821,1250.321073,1253.279098,1255.018649,1255.497757,1257.574102,0,1242.876665,1241.162027,1240.832868,1241.056706,0,0,0,0
2,70,1245.613446,1246.869298,1247.440033,1248.835555,1249.835821,1250.321073,1253.279098,1255.018649,1255.497757,1257.574102,1259.924526,0,1243.369749,1242.876665,1241.162027,1240.832868,0,0,0,0
2,71,1246.869298,1247.440033,1248.835555,1249.835821,1250.321073,1253.279098,1255.018649,1255.497757,1257.574102,1259.924526,1261.565437,0,1245.613446,1243.369749,1242.876665,1241.162027,0,0,0,0
2,72,1247.440033,1248.835555,1249.835821,1250.321073,1253.279098,1255.018649,1255.497757,1257.574102,1259.924526,1261.565437,1263.578656,0,1246.869298,1245.613446,1243.369749,1242.876665,0,0,0,0
2,73,1248.835555,1249.835821,1250.321073,1253.279098,1255.018649,1255.497757,1257.574102,1259.924526,1261.565437,1263.578656,1263.021442,0,1247.440033,1246.869298,1245.613446,1243.369749,0,0,0,0
2,74,1249.835821,1250.321073,1253.279098,1255.018649,1255.497757,1257.574102,1259.924526,1261.565437,1263.578656,1263.021442,1263.324172,0,1248.835555,1247.440033,1246.869298,1245.613446,0,0,0,0
2,75,1250.321073,1253.279098,1255.018649,1255.497757,1257.574102,1259.924526,1261.565437,1263.578656,1263.021442,1263.324172,1264.659275,0,1249.835821,1248.835555,1247.440033,1246.869298,0,0,0,0
2,76,1253.279098,1255.018649,1255.497757,1257.574102,1259.924526,1261.565437,1263.578656,1263.021442,1263.324172,1264.659275,1264.807673,0,1250.321073,1249.835821,1248.835555,1247.440033,0,0,0,0
2,77,1255.018649,1255.497757,1257.574102,1259.924526,1261.565437,1263.578656,1263.021442,1263.324172,1264.659275,1264.807673,1265.197671,0,1253.279098,1250.321073,1249.835821,1248.835555,0,0,0,0
2,78,1255.497757,1257.574102,1259.924526,1261.565437,1263.578656,1263.021442,1263.324172,1264.659275,1264.807673,1265.197671,1265.874945,0,1255.018649,1253.279098,1250.321073,1249.835821,0,0,0,0
2,79,1257.574102,1259.924526,1261.565437,1263.578656,1263.021442,1263.324172,1264.659275,1264.807673,1265.197671,1265.874945,1267.72606,0,1255.497757,1255.018649,1253.279098,1250.321073,0,0,0,0
2,80,1259.924526,1261.565437,1263.578656,1263.021442,1263.324172,1264.659275,1264.807673,1265.197671,1265.874945,1267.72606,1268.279258,0,1257.574102,1255.497757,1255.018649,1253.279098,0,0,0,0
2,81,1261.565437,1263.578656,1263.021442,1263.324172,1264.659275,1264.807673,1265.197671,1265.874945,1267.72606,1268.279258,1270.00074,0,1259.924526,1257.574102,1255.497757,1255.018649,0,0,0,0
2,82,1263.578656,1263.021442,1263.324172,1264.659275,1264.807673,1265.197671,1265.874945,1267.72606,1268.279258,1270.00074,1271.431492,0,1261.565437,1259.924526,1257.574102,1255.497757,0,0,0,0
2,83,1263.021442,1263.324172,1264.659275,1264.807673,1265.197671,1265.874945,1267.72606,1268.279258,1270.00074,1271.431492,1273.218014,0,1263.578656,1261.565437,1259.924526,1257.574102,0,0,0,0
2,84,1263.324172,1264.659275,1264.807673,1265.197671,1265.874945,1267.72606,1268.279258,1270.00074,1271.431492,1273.218014,1275.51716,0,1263.021442,1263.578656,1261.565437,1259.924526,0,0,0,0
2,85,1264.659275,1264.807673,1265.197671,1265.874945,1267.72606,1268.279258,1270.00074,1271.431492,1273.218014,1275.51716,1277.637055,0,1263.324172,1263.021442,1263.578656,1261.565437,0,0,0,0
2,86,1264.807673,1265.197671,1265.874945,1267.72606,1268.279258,1270.00074,1271.431492,1273.218014,1275.51716,1277.637055,1277.763217,0,1264.659275,1263.324172,1263.021442,1263.578656,0,0,0,0
2,87,1265.197671,1265.874945,1267.72606,1268.279258,1270.00074,1271.431492,1273.218014,1275.51716,1277.637055,1277.763217,1279.175354,0,1264.807673,1264.659275,1263.324172,1263.021442,0,0,0,0
2,88,1265.874945,1267.72606,1268.279258,1270.00074,1271.431492,1273.218014,1275.51716,1277.637055,1277.763217,1279.175354,1276.487622,0,1265.197671,1264.807673,1264.659275,1263.324172,0,0,0,0
2,89,1267.72606,1268.279258,1270.00074,1271.431492,1273.218014,1275.51716,1277.637055,1277.763217,1279.175354,1276.487622,1273.893295,0,1265.874945,1265.197671,1264.807673,1264.659275,0,0,0,0
