COUNTDUMS,halfyear,f0UNEMP,f1UNEMP,f2UNEMP,f3UNEMP,f4UNEMP,f5UNEMP,f6UNEMP,f7UNEMP,f8UNEMP,f9UNEMP,f10UNEMP,CRISIS,l1UNEMP,l2UNEMP,l3UNEMP,l4UNEMP,l1CRISIS,l2CRISIS,l3CRISIS,l4CRISIS
1,37,6.2634488,,,,,,,,,,,0,,,,,,,,
1,38,6.29693453333,,,,,,,,,,,0,,,,,,,,
1,39,6.3243694,,,,,,,,,,,0,,,,,,,,
1,40,6.1761181,,,,,,,,,,,0,,,,,,,,
1,41,6.2381895,5.97738536667,5.51148146667,5.95843796667,6.5708963,8.79744493333,10.23381146667,9.7146875,9.136677533330000,8.63941323333,8.443616766670000,0,6.1761181,6.3243694,6.29693453333,6.2634488,0,0,0,0
1,42,5.97738536667,5.51148146667,5.95843796667,6.5708963,8.79744493333,10.23381146667,9.7146875,9.136677533330000,8.63941323333,8.443616766670000,7.87104273333,0,6.2381895,6.1761181,6.3243694,6.29693453333,0,0,0,0
1,43,5.51148146667,5.95843796667,6.5708963,8.79744493333,10.23381146667,9.7146875,9.136677533330000,8.63941323333,8.443616766670000,7.87104273333,7.7905416,0,5.97738536667,6.2381895,6.1761181,6.3243694,0,0,0,0
1,44,5.95843796667,6.5708963,8.79744493333,10.23381146667,9.7146875,9.136677533330000,8.63941323333,8.443616766670000,7.87104273333,7.7905416,8.346022400000000,0,5.51148146667,5.97738536667,6.2381895,6.1761181,0,0,0,0
1,45,6.5708963,8.79744493333,10.23381146667,9.7146875,9.136677533330000,8.63941323333,8.443616766670000,7.87104273333,7.7905416,8.346022400000000,8.164255200000000,0,5.95843796667,5.51148146667,5.97738536667,6.2381895,0,0,0,0
1,46,8.79744493333,10.23381146667,9.7146875,9.136677533330000,8.63941323333,8.443616766670000,7.87104273333,7.7905416,8.346022400000000,8.164255200000000,7.93401356667,0,6.5708963,5.95843796667,5.51148146667,5.97738536667,0,0,0,0
1,47,10.23381146667,9.7146875,9.136677533330000,8.63941323333,8.443616766670000,7.87104273333,7.7905416,8.346022400000000,8.164255200000000,7.93401356667,7.6277941,0,8.79744493333,6.5708963,5.95843796667,5.51148146667,0,0,0,0
1,48,9.7146875,9.136677533330000,8.63941323333,8.443616766670000,7.87104273333,7.7905416,8.346022400000000,8.164255200000000,7.93401356667,7.6277941,6.7734715,0,10.23381146667,8.79744493333,6.5708963,5.95843796667,0,0,0,0
1,49,9.136677533330000,8.63941323333,8.443616766670000,7.87104273333,7.7905416,8.346022400000000,8.164255200000000,7.93401356667,7.6277941,6.7734715,6.1651495,0,9.7146875,10.23381146667,8.79744493333,6.5708963,0,0,0,0
1,50,8.63941323333,8.443616766670000,7.87104273333,7.7905416,8.346022400000000,8.164255200000000,7.93401356667,7.6277941,6.7734715,6.1651495,5.86859983333,0,9.136677533330000,9.7146875,10.23381146667,8.79744493333,0,0,0,0
1,51,8.443616766670000,7.87104273333,7.7905416,8.346022400000000,8.164255200000000,7.93401356667,7.6277941,6.7734715,6.1651495,5.86859983333,6.47295876667,0,8.63941323333,9.136677533330000,9.7146875,10.23381146667,0,0,0,0
1,52,7.87104273333,7.7905416,8.346022400000000,8.164255200000000,7.93401356667,7.6277941,6.7734715,6.1651495,5.86859983333,6.47295876667,7.87468086667,0,8.443616766670000,8.63941323333,9.136677533330000,9.7146875,0,0,0,0
1,53,7.7905416,8.346022400000000,8.164255200000000,7.93401356667,7.6277941,6.7734715,6.1651495,5.86859983333,6.47295876667,7.87468086667,9.6415814,0,7.87104273333,8.443616766670000,8.63941323333,9.136677533330000,0,0,0,0
1,54,8.346022400000000,8.164255200000000,7.93401356667,7.6277941,6.7734715,6.1651495,5.86859983333,6.47295876667,7.87468086667,9.6415814,10.20227923333,0,7.7905416,7.87104273333,8.443616766670000,8.63941323333,0,0,0,0
1,55,8.164255200000000,7.93401356667,7.6277941,6.7734715,6.1651495,5.86859983333,6.47295876667,7.87468086667,9.6415814,10.20227923333,10.66592766667,0,8.346022400000000,7.7905416,7.87104273333,8.443616766670000,0,0,0,0
1,56,7.93401356667,7.6277941,6.7734715,6.1651495,5.86859983333,6.47295876667,7.87468086667,9.6415814,10.20227923333,10.66592766667,11.10621746667,0,8.164255200000000,8.346022400000000,7.7905416,7.87104273333,0,0,0,0
1,57,7.6277941,6.7734715,6.1651495,5.86859983333,6.47295876667,7.87468086667,9.6415814,10.20227923333,10.66592766667,11.10621746667,10.88162956667,0,7.93401356667,8.164255200000000,8.346022400000000,7.7905416,0,0,0,0
1,58,6.7734715,6.1651495,5.86859983333,6.47295876667,7.87468086667,9.6415814,10.20227923333,10.66592766667,11.10621746667,10.88162956667,10.83766646667,0,7.6277941,7.93401356667,8.164255200000000,8.346022400000000,0,0,0,0
1,59,6.1651495,5.86859983333,6.47295876667,7.87468086667,9.6415814,10.20227923333,10.66592766667,11.10621746667,10.88162956667,10.83766646667,9.91618623333,0,6.7734715,7.6277941,7.93401356667,8.164255200000000,0,0,0,0
1,60,5.86859983333,6.47295876667,7.87468086667,9.6415814,10.20227923333,10.66592766667,11.10621746667,10.88162956667,10.83766646667,9.91618623333,9.021134200000000,0,6.1651495,6.7734715,7.6277941,7.93401356667,0,0,0,0
1,61,6.47295876667,7.87468086667,9.6415814,10.20227923333,10.66592766667,11.10621746667,10.88162956667,10.83766646667,9.91618623333,9.021134200000000,8.39534046667,0,5.86859983333,6.1651495,6.7734715,7.6277941,0,0,0,0
