CountryCode,year,F1y,F2y,F3y,F4y,F5y,F6y,F7y,F8y,F9y,F10y,L0HHD_L1GDP,L0NFD_L1GDP,L1HHD_L1GDP,L2HHD_L1GDP,L3HHD_L1GDP,L4HHD_L1GDP,L1NFD_L1GDP,L2NFD_L1GDP,L3NFD_L1GDP,L4NFD_L1GDP,L0y,L1y,L2y,L3y,L4y
36,1994,2743.7437,2747.6704,2751.4487,2755.845,2760.6729,2764.0972,2766.0579,2769.8679,2773.5381,2777.0781,55.906982,66.015541,51.677776,48.771633,48.275063,50.820923,68.498817,73.135818,74.819016,85.153259,2739.7827,2735.7898,2731.7678,2731.3567,2731.7678
36,1995,2747.6704,2751.4487,2755.845,2760.6729,2764.0972,2766.0579,2769.8679,2773.5381,2777.0781,2780.4973,59.211777,65.222481,55.906982,51.677776,48.771633,48.275063,66.015541,68.498817,73.135818,74.819016,2743.7437,2739.7827,2735.7898,2731.7678,2731.3567
36,1996,2751.4487,2755.845,2760.6729,2764.0972,2766.0579,2769.8679,2773.5381,2777.0781,2780.4973,2783.8035,61.77742,64.612701,59.211777,55.906982,51.677776,48.771633,65.222481,66.015541,68.498817,73.135818,2747.6704,2743.7437,2739.7827,2735.7898,2731.7678
36,1997,2755.845,2760.6729,2764.0972,2766.0579,2769.8679,2773.5381,2777.0781,2780.4973,2783.8035,2787.0037,64.774155,65.989998,61.77742,59.211777,55.906982,51.677776,64.612701,65.222481,66.015541,68.498817,2751.4487,2747.6704,2743.7437,2739.7827,2735.7898
36,1998,2760.6729,2764.0972,2766.0579,2769.8679,2773.5381,2777.0781,2780.4973,2783.8035,2787.0037,2790.8652,69.078636,68.143806,64.774155,61.77742,59.211777,55.906982,65.989998,64.612701,65.222481,66.015541,2755.845,2751.4487,2747.6704,2743.7437,2739.7827
36,1999,2764.0972,2766.0579,2769.8679,2773.5381,2777.0781,2780.4973,2783.8035,2787.0037,2790.8652,2792.3691,73.748047,68.020035,69.078636,64.774155,61.77742,59.211777,68.143806,65.989998,64.612701,65.222481,2760.6729,2755.845,2751.4487,2747.6704,2743.7437
36,2000,2766.0579,2769.8679,2773.5381,2777.0781,2780.4973,2783.8035,2787.0037,2790.8652,2792.3691,2794.583,78.290352,75.966881,73.748047,69.078636,64.774155,61.77742,68.020035,68.143806,65.989998,64.612701,2764.0972,2760.6729,2755.845,2751.4487,2747.6704
36,2001,2769.8679,2773.5381,2777.0781,2780.4973,2783.8035,2787.0037,2790.8652,2792.3691,2794.583,2796.7493,82.690933,73.036858,78.290352,73.748047,69.078636,64.774155,75.966881,68.020035,68.143806,65.989998,2766.0579,2764.0972,2760.6729,2755.845,2751.4487
36,2002,2773.5381,2777.0781,2780.4973,2783.8035,2787.0037,2790.8652,2792.3691,2794.583,2796.7493,2800.2585,89.698303,72.924187,82.690933,78.290352,73.748047,69.078636,73.036858,75.966881,68.020035,68.143806,2769.8679,2766.0579,2764.0972,2760.6729,2755.845
36,2003,2777.0781,2780.4973,2783.8035,2787.0037,2790.8652,2792.3691,2794.583,2796.7493,2800.2585,,98.443443,70.129669,89.698303,82.690933,78.290352,73.748047,72.924187,73.036858,75.966881,68.020035,2773.5381,2769.8679,2766.0579,2764.0972,2760.6729
36,2004,2780.4973,2783.8035,2787.0037,2790.8652,2792.3691,2794.583,2796.7493,2800.2585,,,106.69213,71.946442,98.443443,89.698303,82.690933,78.290352,70.129669,72.924187,73.036858,75.966881,2777.0781,2773.5381,2769.8679,2766.0579,2764.0972
36,2005,2783.8035,2787.0037,2790.8652,2792.3691,2794.583,2796.7493,2800.2585,,,,112.25151,79.346397,106.69213,98.443443,89.698303,82.690933,71.946442,70.129669,72.924187,73.036858,2780.4973,2777.0781,2773.5381,2769.8679,2766.0579
36,2006,2787.0037,2790.8652,2792.3691,2794.583,2796.7493,2800.2585,,,,,117.91661,85.409012,112.25151,106.69213,98.443443,89.698303,79.346397,71.946442,70.129669,72.924187,2783.8035,2780.4973,2777.0781,2773.5381,2769.8679
36,2007,2790.8652,2792.3691,2794.583,2796.7493,2800.2585,,,,,,122.29829,93.680405,117.91661,112.25151,106.69213,98.443443,85.409012,79.346397,71.946442,70.129669,2787.0037,2783.8035,2780.4973,2777.0781,2773.5381
36,2008,2792.3691,2794.583,2796.7493,2800.2585,,,,,,,120.8987,99.03685,122.29829,117.91661,112.25151,106.69213,93.680405,85.409012,79.346397,71.946442,2790.8652,2787.0037,2783.8035,2780.4973,2777.0781
36,2009,2794.583,2796.7493,2800.2585,,,,,,,,119.36678,83.883217,120.8987,122.29829,117.91661,112.25151,99.03685,93.680405,85.409012,79.346397,2792.3691,2790.8652,2787.0037,2783.8035,2780.4973
36,2010,2796.7493,2800.2585,,,,,,,,,120.58144,78.073997,119.36678,120.8987,122.29829,117.91661,83.883217,99.03685,93.680405,85.409012,2794.583,2792.3691,2790.8652,2787.0037,2783.8035
36,2011,2800.2585,,,,,,,,,,123.91869,79.204033,120.58144,119.36678,120.8987,122.29829,78.073997,83.883217,99.03685,93.680405,2796.7493,2794.583,2792.3691,2790.8652,2787.0037
36,2012,,,,,,,,,,,119.58607,76.809143,123.91869,120.58144,119.36678,120.8987,79.204033,78.073997,83.883217,99.03685,2800.2585,2796.7493,2794.583,2792.3691,2790.8652
40,1991,,,,,,,,,,,,,,,,,,,,,2591.0652,,,,
40,1992,,,,,,,,,,,,,,,,,,,,,2593.2751,,,,
40,1993,,,,,,,,,,,,,,,,,,,,,2593.8203,,,,
40,1994,,,,,,,,,,,,,,,,,,,,,2595.9707,,,,
40,1995,2601.1533,2603.6472,2607.0374,2610.7761,2614.3801,2615.261,2616.5684,2617.4304,2619.9729,2622.4524,43.408981,64.237129,,,,,,,,,2598.5957,2595.9707,2593.8203,2593.2751,2591.0652
40,1996,2603.6472,2607.0374,2610.7761,2614.3801,2615.261,2616.5684,2617.4304,2619.9729,2622.4524,2626.0601,43.923428,64.430855,43.408981,,,,64.237129,,,,2601.1533,2598.5957,2595.9707,2593.8203,2593.2751
40,1997,2607.0374,2610.7761,2614.3801,2615.261,2616.5684,2617.4304,2619.9729,2622.4524,2626.0601,2629.9216,44.418232,69.000549,43.923428,43.408981,,,64.430855,64.237129,,,2603.6472,2601.1533,2598.5957,2595.9707,2593.8203
40,1998,2610.7761,2614.3801,2615.261,2616.5684,2617.4304,2619.9729,2622.4524,2626.0601,2629.9216,2631.0515,44.846195,71.785866,44.418232,43.923428,43.408981,,69.000549,64.430855,64.237129,,2607.0374,2603.6472,2601.1533,2598.5957,2595.9707
40,1999,2614.3801,2615.261,2616.5684,2617.4304,2619.9729,2622.4524,2626.0601,2629.9216,2631.0515,2627.2344,46.86927,75.79792,44.846195,44.418232,43.923428,43.408981,71.785866,69.000549,64.430855,64.237129,2610.7761,2607.0374,2603.6472,2601.1533,2598.5957
40,2000,2615.261,2616.5684,2617.4304,2619.9729,2622.4524,2626.0601,2629.9216,2631.0515,2627.2344,2629.1611,48.316082,83.033669,46.86927,44.846195,44.418232,43.923428,75.79792,71.785866,69.000549,64.430855,2614.3801,2610.7761,2607.0374,2603.6472,2601.1533
40,2001,2616.5684,2617.4304,2619.9729,2622.4524,2626.0601,2629.9216,2631.0515,2627.2344,2629.1611,2631.7979,48.033173,83.300003,48.316082,46.86927,44.846195,44.418232,83.033669,75.79792,71.785866,69.000549,2615.261,2614.3801,2610.7761,2607.0374,2603.6472
40,2002,2617.4304,2619.9729,2622.4524,2626.0601,2629.9216,2631.0515,2627.2344,2629.1611,2631.7979,2632.9067,48.907944,82.064484,48.033173,48.316082,46.86927,44.846195,83.300003,83.033669,75.79792,71.785866,2616.5684,2615.261,2614.3801,2610.7761,2607.0374
40,2003,2619.9729,2622.4524,2626.0601,2629.9216,2631.0515,2627.2344,2629.1611,2631.7979,2632.9067,,48.709953,82.841629,48.907944,48.033173,48.316082,46.86927,82.064484,83.300003,83.033669,75.79792,2617.4304,2616.5684,2615.261,2614.3801,2610.7761
40,2004,2622.4524,2626.0601,2629.9216,2631.0515,2627.2344,2629.1611,2631.7979,2632.9067,,,52.118668,81.764,48.709953,48.907944,48.033173,48.316082,82.841629,82.064484,83.300003,83.033669,2619.9729,2617.4304,2616.5684,2615.261,2614.3801
40,2005,2626.0601,2629.9216,2631.0515,2627.2344,2629.1611,2631.7979,2632.9067,,,,55.589363,82.713188,52.118668,48.709953,48.907944,48.033173,81.764,82.841629,82.064484,83.300003,2622.4524,2619.9729,2617.4304,2616.5684,2615.261
40,2006,2629.9216,2631.0515,2627.2344,2629.1611,2631.7979,2632.9067,,,,,56.76857,83.401222,55.589363,52.118668,48.709953,48.907944,82.713188,81.764,82.841629,82.064484,2626.0601,2622.4524,2619.9729,2617.4304,2616.5684
40,2007,2631.0515,2627.2344,2629.1611,2631.7979,2632.9067,,,,,,56.011581,91.087257,56.76857,55.589363,52.118668,48.709953,83.401222,82.713188,81.764,82.841629,2629.9216,2626.0601,2622.4524,2619.9729,2617.4304
40,2008,2627.2344,2629.1611,2631.7979,2632.9067,,,,,,,55.436131,92.349632,56.011581,56.76857,55.589363,52.118668,91.087257,83.401222,82.713188,81.764,2631.0515,2629.9216,2626.0601,2622.4524,2619.9729
40,2009,2629.1611,2631.7979,2632.9067,,,,,,,,53.89682,87.610954,55.436131,56.011581,56.76857,55.589363,92.349632,91.087257,83.401222,82.713188,2627.2344,2631.0515,2629.9216,2626.0601,2622.4524
