cnty,obs,GRRT_WB,CRISIS
_ARE,1968,,
_ARE,1969,,
_ARE,1970,,
_ARE,1971,,
_ARE,1972,,
_ARE,1973,,
_ARE,1974,14.4980501392758,0
_ARE,1975,6.22739923317958,0
_ARE,1976,15.0415806319816,0
_ARE,1977,17.4386571216983,1
_ARE,1978,-2.34494507211251,0
_ARE,1979,24.8878125123678,0
_ARE,1980,26.4205690560155,0
_ARE,1981,2.84183861945222,0
_ARE,1982,-8.250587983750259,1
_ARE,1983,-5.3925315535338,0
_ARE,1984,4.61115544914427,0
_ARE,1985,-6.57325308694301,0
_ARE,1986,-18.7833475378243,0
_ARE,1987,6.25846940550032,0
_ARE,1988,-2.39824129672476,0
_ARE,1989,13.5378288156729,0
_ARE,1990,17.5300157133553,0
_ARE,1991,.209971540380266,0
_ARE,1992,2.69007763677732,0
_ARE,1993,-.900019088144518,0
_ARE,1994,2.19994494200881,0
_ARE,1995,6.12007270248777,0
_ARE,1996,10.0499468417685,0
_ARE,1997,2.14002850325488,0
_ARE,1998,-5.65003870630749,0
_ARE,1999,,0
_ARE,2000,,0
_ARE,2001,,0
_ARG,1960,,
_ARG,1961,5.42784366791365,
_ARG,1962,-.852026062861881,
_ARG,1963,-5.30819635928893,0
_ARG,1964,10.1302978092034,1
_ARG,1965,10.5694366605998,0
_ARG,1966,-.659726174863422,1
_ARG,1967,3.19199662528655,0
_ARG,1968,4.82250079191368,0
_ARG,1969,9.679525991417711,1
_ARG,1970,3.04564334084789,0
_ARG,1971,5.65813108050457,1
_ARG,1972,1.62841649943542,0
_ARG,1973,2.81175403997466,0
_ARG,1974,5.53380440143016,0
_ARG,1975,-.028412088271139,1
_ARG,1976,-2.01825153277618,0
_ARG,1977,6.93414776273241,0
_ARG,1978,-4.5061247976757,0
_ARG,1979,10.2227634485709,0
_ARG,1980,4.15176235037666,1
_ARG,1981,-5.68952800015261,1
_ARG,1982,-4.95717851863463,1
_ARG,1983,3.87512343331905,1
_ARG,1984,2.21177350353476,1
_ARG,1985,-7.58667718994943,0
_ARG,1986,7.87577983062546,1
_ARG,1987,2.90999313619218,1
_ARG,1988,-2.55690488546976,0
_ARG,1989,-7.49618957328234,1
_ARG,1990,-2.39895922424094,0
_ARG,1991,12.6697100968503,1
_ARG,1992,11.9407747284308,0
_ARG,1993,5.90691949369952,0
_ARG,1994,5.83620069701152,0
_ARG,1995,-2.84520961119371,0
_ARG,1996,5.52668982824723,0
_ARG,1997,8.11104675760042,0
_ARG,1998,3.85017886913407,0
_ARG,1999,-3.38545705259294,0
_ARG,2000,-.788998922157403,0
_ARG,2001,-4.45487318031682,1
_ARM,1960,,
_ARM,1961,,
_ARM,1962,,
_ARM,1963,,
_ARM,1964,,
_ARM,1965,,
_ARM,1966,,
_ARM,1967,,
_ARM,1968,,
_ARM,1969,,
_ARM,1970,,
_ARM,1971,,
_ARM,1972,,
_ARM,1973,,
_ARM,1974,,
_ARM,1975,,
_ARM,1976,,
_ARM,1977,,
_ARM,1978,,
_ARM,1979,,
_ARM,1980,,
_ARM,1981,,
_ARM,1982,,
_ARM,1983,,
_ARM,1984,,
_ARM,1985,,
_ARM,1986,,
_ARM,1987,,
_ARM,1988,,
_ARM,1989,,
_ARM,1990,,
_ARM,1991,-11.6999984817524,
_ARM,1992,-41.8000027485614,
_ARM,1993,-8.79999879239084,
_ARM,1994,5.40000279013701,0
_ARM,1995,6.89999840719999,0
_ARM,1996,5.86540074820616,0
_ARM,1997,3.32107969582275,0
_ARM,1998,7.34032461202989,0
_ARM,1999,3.30000446847491,0
_ARM,2000,5.99999792365162,0
_ARM,2001,9.57769134486762,0
_ATG,1960,,
_ATG,1961,,
_ATG,1962,,
_ATG,1963,,
_ATG,1964,,
_ATG,1965,,
_ATG,1966,,
_ATG,1967,,
_ATG,1968,,
_ATG,1969,,
_ATG,1970,,
_ATG,1971,,
_ATG,1972,,
_ATG,1973,,
_ATG,1974,,
_ATG,1975,,
_ATG,1976,,0
_ATG,1977,,1
_ATG,1978,4.18411776902342,0
_ATG,1979,7.34357586371596,0
_ATG,1980,8.595053580036341,1
_ATG,1981,4.08372315361764,0
_ATG,1982,.167306367483519,0
_ATG,1983,4.67839130149996,0
_ATG,1984,9.75361752053187,0
_ATG,1985,7.99030786773088,0
_ATG,1986,12.7194255998733,0
