ccode,year,D1y,L1D1y,L2D1y,L3D1y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y
32,1882,0.201582789421082,-0.00625392887741327,-0.0409217402338982,0.0168984103947878,0,0,0,0,0,,,,,,,,0.0816981419920921,0.114701367914677,0.227850407361984,0.193371400237083,0.211797386407852,0.305597543716431
32,1883,0.0816981419920921,0.201582789421082,-0.00625392887741327,-0.0409217402338982,0,0,0,0,0,0,,,,,,,0.0330032259225845,0.146152257919312,0.111673250794411,0.130099236965179,0.223899409174919,0.240013673901558
32,1884,0.0330032259225845,0.0816981419920921,0.201582789421082,-0.00625392887741327,0,0,0,0,0,0,0,,,,,,0.113149039447308,0.0786700248718262,0.0970960110425949,0.190896183252335,0.207010447978973,0.0995825380086899
32,1885,0.113149039447308,0.0330032259225845,0.0816981419920921,0.201582789421082,0,0,0,0,0,0,0,0,,,,,-0.0344790108501911,-0.0160530284047127,0.077747143805027,0.0938614159822464,-0.0135664939880371,-0.0723819136619568
32,1886,-0.0344790108501911,0.113149039447308,0.0330032259225845,0.0816981419920921,0,0,0,0,0,0,0,0,,,,,0.0184259824454784,0.112226158380508,0.128340423107147,0.0209125131368637,-0.0379029028117657,0.119753479957581
32,1887,0.0184259824454784,-0.0344790108501911,0.113149039447308,0.0330032259225845,0,0,0,0,0,0,0,0,,,,,0.0938001722097397,0.109914444386959,0.00248653441667557,-0.0563288815319538,0.101327508687973,0.137775495648384
32,1888,0.0938001722097397,0.0184259824454784,-0.0344790108501911,0.113149039447308,0,1,0,0,0,0,0,0,,,,,0.0161142703145742,-0.0913136377930641,-0.150129050016403,0.00752733647823334,0.0439753234386444,0.163444101810455
32,1889,0.0161142703145742,0.0938001722097397,0.0184259824454784,-0.0344790108501911,0,0,0,0,0,1,0,0,,,,,-0.107427909970284,-0.166243329644203,-0.00858694314956665,0.0278610438108444,0.147329807281494,0.227742627263069
32,1890,-0.107427909970284,0.0161142703145742,0.0938001722097397,0.0184259824454784,0,0,0,0,0,0,1,0,,,,,-0.0588154159486294,0.0988409668207169,0.135288953781128,0.254757732152939,0.335170567035675,0.394924134016037
32,1891,-0.0588154159486294,-0.107427909970284,0.0161142703145742,0.0938001722097397,0,1,0,0,0,0,0,1,,,,,0.157656386494637,0.194104373455048,0.313573151826859,0.393985986709595,0.453739553689957,0.214502334594727
32,1892,0.157656386494637,-0.0588154159486294,-0.107427909970284,0.0161142703145742,0,0,0,0,0,1,0,0,,,,,0.0364479869604111,0.155916750431061,0.236329570412636,0.296083122491837,0.0568459033966064,0.108953602612019
32,1893,0.0364479869604111,0.157656386494637,-0.0588154159486294,-0.107427909970284,0,0,0,0,0,0,1,0,,,,,0.11946877092123,0.199881583452225,0.259635150432587,0.0203979313373566,0.0725056305527687,0.204901546239853
32,1894,0.11946877092123,0.0364479869604111,0.157656386494637,-0.0588154159486294,0,0,0,0,0,0,0,1,,,,,0.080412819981575,0.140166372060776,-0.0990708470344543,-0.0469631478190422,0.0854327604174614,-0.0808183327317238
32,1895,0.080412819981575,0.11946877092123,0.0364479869604111,0.157656386494637,0,0,0,0,0,0,0,0,,,,,0.059753555804491,-0.179483667016029,-0.127375960350037,0.00501994788646698,-0.161231145262718,-0.159493520855904
